"","unit","airpol","geo","time","values"
"401","THS_T","CH4_CO2E","HU",2019-01-01,8238.25
"402","THS_T","CH4_CO2E","IE",2019-01-01,14731.15
"403","THS_T","CH4_CO2E","IS",2019-01-01,569.41
"404","THS_T","CH4_CO2E","IT",2019-01-01,42969.42
"405","THS_T","CH4_CO2E","LT",2019-01-01,2952
"406","THS_T","CH4_CO2E","LU",2019-01-01,582.42
"407","THS_T","CH4_CO2E","LV",2019-01-01,1771.39
"408","THS_T","CH4_CO2E","MT",2019-01-01,201.9
"409","THS_T","CH4_CO2E","NL",2019-01-01,17219.1
"410","THS_T","CH4_CO2E","PL",2019-01-01,45276.86
"411","THS_T","CH4_CO2E","PT",2019-01-01,9173.16
"412","THS_T","CH4_CO2E","RO",2019-01-01,22932.3
"413","THS_T","CH4_CO2E","SE",2019-01-01,4214.26
"414","THS_T","CH4_CO2E","SI",2019-01-01,1923.14
"415","THS_T","CH4_CO2E","SK",2019-01-01,3304.79
"416","THS_T","CH4_CO2E","UK",2019-01-01,49122.35
"417","THS_T","CO2","AT",2019-01-01,70869.16
"418","THS_T","CO2","BE",2019-01-01,104920.42
"419","THS_T","CO2","BG",2019-01-01,42950.41
"420","THS_T","CO2","CY",2019-01-01,8375.03
"421","THS_T","CO2","CZ",2019-01-01,102736.86
"422","THS_T","CO2","DE",2019-01-01,741061.01
"423","THS_T","CO2","DK",2019-01-01,34265.27
"424","THS_T","CO2","EE",2019-01-01,12590.65
"425","THS_T","CO2","EL",2019-01-01,69724.5
"426","THS_T","CO2","ES",2019-01-01,270482.98
"427","THS_T","CO2","EU27_2020",2019-01-01,3054706.5
"428","THS_T","CO2","EU28",2019-01-01,3457782.5
"429","THS_T","CO2","EU28_IS_K",2019-01-01,3464875.94
"430","THS_T","CO2","FI",2019-01-01,45171.39
"431","THS_T","CO2","FR",2019-01-01,344891.76
"432","THS_T","CO2","HR",2019-01-01,18384.7
"433","THS_T","CO2","HU",2019-01-01,49930.26
"434","THS_T","CO2","IE",2019-01-01,40595.13
"435","THS_T","CO2","IS",2019-01-01,4507.12
"436","THS_T","CO2","IT",2019-01-01,352174.72
"437","THS_T","CO2","LT",2019-01-01,14293.06
"438","THS_T","CO2","LU",2019-01-01,11550.24
"439","THS_T","CO2","LV",2019-01-01,8142.07
"440","THS_T","CO2","MT",2019-01-01,2183.37
"441","THS_T","CO2","NL",2019-01-01,165474.67
"442","THS_T","CO2","PL",2019-01-01,322715.45
"443","THS_T","CO2","PT",2019-01-01,52152.65
